﻿﻿restaurant_id,wine_name,producer,vintage,price,bottle_size,section,acidity,tannin,body,texture,pairing_tags,insider_note,data_source
4 Charles Prime Rib,La Tâche Grand Cru,Domaine de la Romanée-Conti,2009,9597,750ml,Red Burgundy,7,8,8,"velvety, opulent","roast_lamb, duck, squab, black_truffle","Solar, seductive 2009; plush fruit with ample but polished tannins.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,La Tâche Grand Cru,Domaine de la Romanée-Conti,2014,9597,750ml,Red Burgundy,8,7,7,"aerial, precise, filigreed","roast_chicken, veal_sweetbreads, girolles, reblochon","Cool, transparent 2014 La Tâche; focus and line over sheer weight.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Chambertin Grand Cru,Armand Rousseau,2002,9175,750ml,Red Burgundy,8,9,9,"Dense, profound","Venison, Beef",Chambertin iron fist in glove.,NUCLEAR_MATCH_V8
joo ok,Chateau Le Pin,Chateau Le Pin,2016,9000,750ml,Red Wine,9,9,8,Structured,"Ribeye, Foie","2016 Pomerol: classic structure, aging gracefully.",NUCLEAR_MATCH_V8
joo ok,Petrus,Petrus,1989,9000,750ml,Red Wine,7,9,10,silky,"foie gras, venison","Legendary Petrus, evolved perfection.",NUCLEAR_MATCH_V8
jua,Montrachet GC,DOMAINE DE LA ROMANNÉE-CONTI,2018,9000,750ml,White,7,,9,"opulent, layered, spherical","caviar, lobster, white_truffle","DRC Montrachet; profound depth, yet still anchored by limestone tension.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Pessac-Léognan,Château Haut Brion,1989,8750,750ml,Bordeaux,7,8,9,"dense, velvety, smoky, layered","prime rib, lamb, game birds, truffle, cigar-friendly","Iconic 1989; tobacco, graphite, seductive richness, still stunningly complete.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Pomerol,Petrus,1989,8750,750ml,Bordeaux,7,9,9,Legendary,"Wagyu, Caviar",1989 Petrus immortal classic.,NUCLEAR_MATCH_V8
4 Charles Prime Rib,Richebourg Grand Cru,Domaine de la Romanée-Conti,2005,8402,750ml,Red Burgundy,7,9,9,"muscular, enveloping, powerful","venison, dry_aged_ribeye, hare_à_la_royale, epoisses","2005 Richebourg: monumental structure, still youthful, intensely layered.",NUCLEAR_MATCH_V8
essential by christophe,Unknown,Dujac,1969,8250,Magnum,General,6,6,7,"delicate, resolved","simple_roast_poultry, cheese_plate, truffle, conversation_only","Historic 1969 Dujac; fragile, ethereal, for contemplative service.",NUCLEAR_MATCH_V8
essential by christophe,Echezeaux Grand Cru,Domaine Dujac,1969,8250,Magnum,General,7,8,8,Mature,"Beef Wellington, Aged cheese","Legendary '69, evolved silk elegance.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Corton-Charlemagne Grand Cru,Coche-Dury,2016,8200,750ml,White Burgundy,10,1,9,Electric,"Lobster, Caviar, Fine Fish",A unicorn wine; Coche's Corton-Charlemagne is legendary for its piercing reduction and power.,NUCLEAR_MATCH_V8
4 Charles Prime Rib,Grands-Echézeaux Grand Cru,Domaine de la Romanée-Conti,2002,7975,750ml,Red Burgundy,7,8,8,"compact, satin, structured","lamb_rack, pheasant, turbot_in_red_wine_sauce, aged_gruyère","2002 Grands-Echézeaux; complete, serious structure with emerging tertiary nuance.",NUCLEAR_MATCH_V8
53,Richebourg Grand Cru,Domaine de la Romanée-Conti,2022,7885,750ml,Red Wines,7,8,9,"dense, velvety, powerful yet polished","wagyu, venison, lamb roast, black truffle, aged cheese","Young, monumental Richebourg; immense depth cloaked in ripe tannins.",NUCLEAR_MATCH_V8
53,Romanée-Saint-Vivant Grand Cru,Domaine de la Romanée-Conti,2022,7885,750ml,Red Wines,7,6,8,"perfumed, lace-like, sensual, plush","duck, squab, veal, umami, soft cheese","Aromatic, velvet RSV; vertical yet caressing, extremely young.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Chambertin Clos-de-Bèze Grand Cru,Armand Rousseau,2002,7775,750ml,Red Burgundy,8,8,8,"Elegant, structured","Ribeye, Truffle",Clos-de-Bèze spice shines.,NUCLEAR_MATCH_V8
53,Oakville,Screaming Eagle,2021,7657,750ml,Red Wines,7,8,8,"ethereal, weightless_power, ultra-fine","unicorn, vip_table, auction_level, decant_service","Benchmark cult Cabernet; layered, perfumed, paradoxically powerful yet weightless.",NUCLEAR_MATCH_V8
53,Richebourg Grand Cru,Domaine de la Romanée-Conti,2021,7500,750ml,Red Wines,9,8,8,Satin,"Goose, Truffle","Lean Richebourg, vibrant and precise.",NUCLEAR_MATCH_V8
atomix,Unknown,Dom Pérignon,1992,7000,750ml,General,7,1,9,"vinous, layered, caressing","foie_gras, morel, turbot","P3 1992: tertiary, profound, almost still-wine in complexity.",NUCLEAR_MATCH_V8
essential by christophe,Unknown,Petrus,1970,7000,750ml,General,7,8,9,"sumptuous, resolved, glycerol","simple roast beef, truffle risotto, comté, contemplative sipping","Iconic 1970 Petrus: fully evolved, silken palate, profound savory depth.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,"Les Beaux Monts 1er Cru, Vosne-Romanée",Domaine Leroy,1993,6950,750ml,Red Burgundy,8,7,7,"nervy, fine-grained, persistent","lamb_rump, pigeon, porcini_risotto, abbaye_de_citeaux","1993 Beaux Monts; serious, still energetic, with classic Leroy intensity.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Echézeaux Grand Cru,Domaine de la Romanée-Conti,1999,6772,750ml,Red Burgundy,7,7,7,"silky, floral, medium-bodied","duck_breast, pork_tenderloin, rabbit, brillat_savarin","1999 Echézeaux in sweet spot; aromatically expressive, fine-boned palate.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,"Les Genaivrières, Vosne-Romanée",Domaine Leroy,1996,6750,750ml,Red Burgundy,7,7,7,"satiny, elegant, high-toned","duck_magret, veal, roast_chicken, tomme_crayeuse","1996 Genaivrières; lifted vintage acidity balanced by ripe, perfumed fruit.",NUCLEAR_MATCH_V8
gabriel kreuther,Echézeaux Grand Cru,Romanée-Conti,2016,6750,750ml,General,9,9,8,Structured,"Game, Mushrooms","2016 Piedmont-like: Cool, classic structure.",NUCLEAR_MATCH_V8
53,Richebourg Grand Cru,Domaine de la Romanée-Conti,2020,6730,750ml,Red Wines,8,8,8,Firm,"Beef, Game Birds","Richebourg balance, age-worthy grip.",NUCLEAR_MATCH_V8
53,Chevalier-Montrachet Grand Cru,Domaine Leflaive,2022,6656,750ml,Chardonnay | Burgundy,8,1,8,Weightless energy,"Lobster, Cream Sauces",Ripe body; soaring aromatics shine.,NUCLEAR_MATCH_V8
53,Romanée-Saint-Vivant Grand Cru,Domaine de la Romanée-Conti,2020,6635,750ml,Red Wines,8,8,8,Rich,"Lamb, Root Veggies","RSV depth, structured and layered.",NUCLEAR_MATCH_V8
53,Ribera del Duero 'Unico',Vega Sicilia,1996,6523,750ml,Red Wines,7,9,9,Dense,"venison, truffles","Legendary 1996 Unico, profound depth.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Romanée-St-Vivant Grand Cru,Domaine de la Romanée-Conti,2009,6500,750ml,Red Burgundy,7,8,8,"voluptuous, velour, ripe","lamb_shoulder, pork_belly, duck, epoisses","2009 RSV; plush, charming and generous, yet retains Vosne spice.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Pomerol,Petrus,2005,6500,750ml,Bordeaux,7,9,9,Monumental,"Prime Rib, Aged Cheddar","Petrus peak, profound depth.",NUCLEAR_MATCH_V8
53,Brut Blanc de Blancs Grand Cru,Salon,2008,6500,Large Format,Large Formats,9,1,7,"chiselled, chalk‑packed, ultra_fine","caviar, oysters, lobster, fine_sashimi, cellar_selection","Le Mesnil purity; razor precision, powerful yet weightless, collectable.",NUCLEAR_MATCH_V8
atomix,Unknown,Dom Pérignon,1993,6500,750ml,General,8,3,8,Tertiary,"Caviar, Aged Beef","P3 1993 legend, oxidative elegance.",NUCLEAR_MATCH_V8
gabriel kreuther,Napa Valley,Harlan Estate,2018,6500,750ml,General,7,9,9,Dense,"steak, lamb","Opulent Napa icon, powerful and layered.",NUCLEAR_MATCH_V8
53,Barbaresco Riserva 'Crichët Pajé',Roagna,2004,6247,750ml,Red Wines,7,8,9,Velvety,"aged beef, gorgonzola","2004 Riserva: mature, complex evolution.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,"Les Beaux Monts 1er Cru, Vosne-Romanée",Domaine Leroy,1989,6200,750ml,Red Burgundy,7,7,7,"silky, mature, earthy","pheasant, duck, truffled_polenta, morbier","1989 Beaux Monts; fully evolved, seductive, with sous-bois complexity.",NUCLEAR_MATCH_V8
53,Corton-Charlemagne Grand Cru,Domaine de la Romanee-Conti,2022,6154,750ml,White Wines,9,1,9,Opulent,"Lobster, Truffles",DRC Corton: Grand Cru solar majesty.,NUCLEAR_MATCH_V8
jungsik,Unknown,Moët & Chandon,1978,6000,Magnum,General,7,1,7,Toasty,"Lobster, Foie Gras","Legendary P3, profound maturity.",NUCLEAR_MATCH_V8
53,Pauillac,Château Lafite-Rothschild,2005,5995,750ml,Red Wines,7,9,9,Velvety,"Beef, Truffles","Mature Lafite, harmonious classic.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Romanée-St-Vivant Grand Cru,Domaine de la Romanée-Conti,2008,5985,750ml,Red Burgundy,7,7,7,"fine, cool-fruited, linear","duck, chicken_with_morels, chanterelles, tomme_de_montagne","2008 RSV; lifted, taut, mineral with vibrant red-fruit profile.",NUCLEAR_MATCH_V8
53,Ribera del Duero 'Unico',Vega Sicilia,2009,5979,750ml,Red Wines,7,9,9,Opulent,,"Iconic 2009 Unico, ripe and balanced.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Grands-Echézeaux Grand Cru,Domaine de la Romanée-Conti,2010,5975,750ml,Red Burgundy,7,8,8,"velvety, dense, persistent","venison, beef_wellington, porcini, mimolette_vieille","2010 Grands-Echézeaux; classic, firm backbone with deep, coiled fruit.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,"Les Beaux Monts 1er Cru, Vosne-Romanée",Domaine Leroy,1991,5895,750ml,Red Burgundy,7,7,7,"supple, savory, resolved","roast_quail, rabbit, mushroom_tart, langres","1991 Beaux Monts; delicate, tertiary, lace-like tannins, drinking at apogee.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Pauillac,Château Lafite Rothschild,1982,5850,750ml,Bordeaux,9,9,9,Ethereal elegance,"Venison, Foie Gras","Legendary 1982: perfect, profound depth.",NUCLEAR_MATCH_V8
53,Brut 'Grand Siècle Les Reserves No. 20',Laurent-Perrier,NV,5833,Large Format,Large Formats,8,1,8,"creamy, chalk‑etched, expansive","caviar, truffle_dish, roast_poultry, langoustine, celebration","Older reserve Grand Siècle; more vinosity, patisserie complexity, cellarworthy.",NUCLEAR_MATCH_V8
Huso,‘Musigny’,Jacques-Frédéric Mugnier,2017,5800,750ml,Red Wine,8,7,7,"ethereal, satin, persistent","pigeon, foie_gras, lobster, fine_veal",More Musigny lace than muscle; haunting perfume over fine 2017 structure.,NUCLEAR_MATCH_V8
Huso,Romanée-Saint-Vivant,Domaine de la Romanée-Conti,2022,5800,750ml,Red Wine,7,7,8,"suave, glossy, caressing","duck, pigeon, veal, morels, fine_cheese","2022 RSV leans hedonistic: layered cherry fruit, silk-first structure.",NUCLEAR_MATCH_V8
joo ok,Petrus,Petrus,2005,5800,750ml,Red Wine,8,9,10,opulent,"roast pheasant, dark chocolate","Monumental Petrus, dense and harmonious.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Romanée-St-Vivant Grand Cru,Domaine de la Romanée-Conti,2000,5773,750ml,Red Burgundy,7,7,7,"silky, high-toned, perfumed","roast_partridge, veal, truffled_pasta, vacherin_mont_dor","2000 RSV; elegant, fully resolved, hauntingly aromatic rather than powerful.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,"Au Bas de Combe, Nuits-St-Georges",Domaine Leroy,1996,5585,750ml,Red Burgundy,8,7,7,"savory, resolved, silken","game_bird, duck, mushroom, truffle",Mature Leroy; tertiary forest and sous-bois now leading the profile.,NUCLEAR_MATCH_V8
4 Charles Prime Rib,Chambertin Grand Cru,Armand Rousseau,2022,5575,750ml,Red Burgundy,8,8,9,"Powerful, ripe","Steak, Wild Boar",Chambertin grandeur amplified.,NUCLEAR_MATCH_V8
gabriel kreuther,Charlotte Dumay Hospices de Beaune,Coche-Dury,2017,5500,750ml,General,8,6,6,"silky, finely etched, precise oak integration","veal, duck, poultry with jus, umami-rich dishes","Hospices fruit, Coche élevage; pure, detailed, built for contemplation.",NUCLEAR_MATCH_V8
babbo,Unknown,Cantina Mascarello,1974,5350,750ml,General,8,7,7,"delicate, orange_peel, tea-like","parmigiano, truffle_gnocchi",Museum-piece Mascarello; pour for aficionados seeking nuance over power.,NUCLEAR_MATCH_V8
joo ok,Chevalier Montrachet Grand Cru,Domaine Leflaive,2018,5350,750ml,White Wine,9,1,9,Creamy,"Truffle Dishes, Roast Poultry","Rich 2018 Leflaive: solar fruit, opulent oak.",NUCLEAR_MATCH_V8
Huso,‘Chambertin’,Armand Rousseau,2022,5300,750ml,Red Wine,8,8,8,ripe satin,"beef, wild boar",Rousseau ripe with lush texture.,NUCLEAR_MATCH_V8
53,Montrachet Grand Cru,Pierre-Yves Colin-Morey,2019,5200,750ml,Chardonnay | Burgundy,8,1,9,Opulent mineral,"foie gras, fine seafood","2019 Montrachet pinnacle, profound length.",NUCLEAR_MATCH_V8
gabriel kreuther,Echézeaux Grand Cru,Romanée-Conti,2018,5200,750ml,General,8,7,8,Silky,"Duck, Truffles","2018 Burgundy: Ripe, harmonious Grand Cru.",NUCLEAR_MATCH_V8
joo ok,Richebourg,Domaine de la Romanee-Conti,2020,5200,750ml,Red Wine,7,9,9,"dense, velvety, monumental","wagyu, lamb, game, truffle, cellar_selection","Young 2020 Richebourg: coiled power, needs a decade to unfurl.",NUCLEAR_MATCH_V8
jungsik,“Dom Pérignon P3” Brut,Moët & Chandon,1992,5200,750ml,General,8,1,9,"silky, vinous, mature mousse","white_truffle, buttered_langoustine, aged_parmigiano",Profoundly tertiary P3; Champagne behaving like grand white Burgundy.,NUCLEAR_MATCH_V8
53,Corton-Charlemagne Grand Cru,Domaine de la Romanee-Conti,2020,5192,750ml,White Wines,8,,8,"tense, layered, seamless","turbot, truffled_chicken",More classic 2020 profile; cellar or decant at table.,NUCLEAR_MATCH_V8
53,Grands-Échézeaux Grand Cru,Domaine de la Romanée-Conti,2021,5000,750ml,Red Wines,9,8,7,Taut,"Tuna, Mushrooms","Grands-Échézeaux tension, classic acid.",NUCLEAR_MATCH_V8
essential by christophe,Unknown,Château Margaux,1983,5000,750ml,General,7,7,7,"silky, resolved, earthy, tertiary","roast lamb, squab, mushroom, truffle, hard cheeses","Mature first growth Margaux; florals, tobacco and resolved tannins dominate.",NUCLEAR_MATCH_V8
essential by christophe,Unknown,Mouton Rothschild,1949,5000,750ml,General,7,8,9,Velvety,"Beef, Aged Cheese","Rare post-war gem, profound depth.",NUCLEAR_MATCH_V8
essential by christophe,Unknown,Petrus,1995,5000,750ml,General,7,9,9,"concentrated, muscular, velvety core","dry-aged steak, lamb saddle, truffle dishes, firm cheeses","1995 Petrus: powerful, structured Merlot with deep plum, truffle complexity.",NUCLEAR_MATCH_V8
Huso,Chevalier-Montrachet Grand Cru,Domaine Leflaive,2022,5000,750ml,White Wine,8,1,8,Weightless energy,"Lobster, Cream Sauces",Ripe body; soaring aromatics shine.,NUCLEAR_MATCH_V8
Huso,‘Chambertin’,Armand Rousseau,2021,5000,750ml,Red Wine,9,7,7,lean tensile,"pork, truffles",Cool classic lean with purity.,NUCLEAR_MATCH_V8
joo ok,Clos D’Ambonnay,Krug,2000,5000,750ml,Champagne & Sparkling,8,3,9,"creamy, expansive, vinous","caviar, lobster, turbot, truffle_dishes","Monoparcel Ambonnay; enormous depth, red fruit and chalk-infused power.",NUCLEAR_MATCH_V8
jua,Richebourg GC,DOMAINE DE LA ROMANÉE-CONTI,2020,5000,750ml,Red,7,9,9,"dense, velvety, monumental","wagyu, lamb, game, truffle, cellar_selection","Young 2020 Richebourg: coiled power, needs a decade to unfurl.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Bonnes-Mares Grand Cru,Georges Roumier,2002,4775,750ml,Red Burgundy,8,8,8,"Balanced, harmonious","Game, Squab","Prime drinking, refined power.",NUCLEAR_MATCH_V8
53,Chevalier-Montrachet Grand Cru,Domaine Leflaive,2020,4765,750ml,Chardonnay | Burgundy,8,1,9,Velvety grand,"lobster, truffles","2020 Chevalier power, ageworthy balance.",NUCLEAR_MATCH_V8
joo ok,Batard Montrachet Grand Cru,Domaine Leflaive,2018,4700,750ml,White Wine,9,1,9,Velvety,"Veal, Cream Sauces","2018 Batard power: warm vintage depth, tension.",NUCLEAR_MATCH_V8
Huso,Corton-Charlemagne Grand Cru (Damaged Label),Domaine de la Romanée-Conti,2022,4600,750ml,White Wine,8,,9,"dense, satiny, profoundly_mineral","lobster, turbot, foie_gras, truffle_dishes","DRC Corton-Charlemagne: monumental, deeply layered, yet shockingly precise.",NUCLEAR_MATCH_V8
gabriel kreuther,Unknown,Domaine de la Romanée-Conti,1986,4550,750ml,General,7,6,6,"mature, soft‑edged, earthy","duck, pork, mushroom, semi‑firm cheese",1986 Échézeaux: fully resolved; emphasize aromatics over structure.,NUCLEAR_MATCH_V8
jua,Romanée St.Vivant GC,DOMAINE DE LA ROMANÉE-CONTI,2016,4500,750ml,Red,8,7,7,"haunting, satin, incense-laced","duck, poularde, truffle, soft cheese","RSV in a great classic year: purely aromatic, almost Burgundian grand cru archetype.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Musigny Grand Cru,Domaine Frédéric Mugnier,2017,4415,750ml,Red Burgundy,8,7,7,"Sunny, charming","Poultry, Salmon","Musigny perfume, easy charm.",NUCLEAR_MATCH_V8
frevo,Château Lafleur,Château Lafleur,2005,4400,750ml,Red Wines,8,9,9,"dense, polished, muscular","fine_dining, red_meat, game, cellar_candidate","Monumental, structured Lafleur; needs time or generous decant.",NUCLEAR_MATCH_V8
joo ok,St.-Vivant Grand Cru,Domaine de la Romanee-Conti,2020,4400,750ml,Red Wine,8,7,7,"precise, satin, tense","poularde, pigeon, morel_pasta, reblochon","2020 RSV; ripe yet vertical, with vibrant, limestone-driven finish.",NUCLEAR_MATCH_V8
53,Bonnes Mares Grand Cru,Domaine Georges Roumier,2022,4231,750ml,Red Wines,8,9,9,Opulent,"Beef, Game","Bonnes Mares power, ripe solar vintage.",NUCLEAR_MATCH_V8
53,Meursault 1er Cru 'Clos des Bouchères',Domaine Roulot,2023,4200,Large Format,Large Formats,8,1,7,"silky, tense, fine_lees_creamy","lobster, scallops, roast_chicken, morels, tasting_menu","2023 Clos des Bouchères; reductive edge, citrus‑pit, beautifully transparent Meursault.",NUCLEAR_MATCH_V8
joo ok,Petrus,Petrus,2008,4200,750ml,Red Wine,8,9,9,firm,"beef Wellington, mature cheeses","Austere Petrus, long-lived power.",NUCLEAR_MATCH_V8
joo ok,Chateau Lafleur,Chateau Lafleur,2015,4199,750ml,Red Wine,8,9,9,Opulent,"Beef, Truffles","2015 solar: rich body, lush fruit.",NUCLEAR_MATCH_V8
53,Saint-Émilion,Château Cheval Blanc,2009,4170,750ml,Red Wines,7,9,9,Opulent,"Beef Wellington, Blue Cheese","Solar perfection, hedonistic.",NUCLEAR_MATCH_V8
gabriel kreuther,Pauillac 1st growth,Latour,2006,4130,750ml,General,8,9,9,Firm,"Beef, Casseroles",2006 Latour: Classic Bordeaux structure.,NUCLEAR_MATCH_V8
cote,Mt. Veeder,Mayacamas,1996,4120,5L,U.S.A. RED WINE,7,9,8,Firm,"Steak Au Poivre, Aged Beef","96 Veeder power, long-lived.",NUCLEAR_MATCH_V8
don angie,Barbaresco,Gaja,2000,4100,1.5L,General,7,7,8,"resolved, tertiary, velvety","truffle pasta, roast squab, aged cheeses","Mature Gaja: leather, dried rose, truffle and seamlessly melted structure.",NUCLEAR_MATCH_V8
gabriel kreuther,Unknown,Domaine de la Romanée-Conti,1987,4100,750ml,General,7,6,6,"resolved, savory, gentle","game bird, mushroom, comté, charcuterie","1987 Grands‑Échézeaux: tertiary, for contemplative, quiet moments.",NUCLEAR_MATCH_V8
gabriel kreuther,Aux Malconsorts,Dujac,2022,4100,1500ml,General,8,7,8,"plush yet vertical, structured","lamb, rich duck dishes, beef, truffle dishes","Solar 2022 Malconsorts: intense, spicy, hedonistic but still Dujac-scented.",NUCLEAR_MATCH_V8
joo ok,Bienvenues Batard Montrachet Grand Cru,Domaine Leflaive,2018,4100,750ml,White Wine,9,1,8,Silky,"Seafood Risotto, White Fish","Elegant 2018 Bienvenues: floral, balanced ripeness.",NUCLEAR_MATCH_V8
cote,"Rocche dell'Annunziata, Riserva",Paolo Scavino,1996,4000,5L,Italian Red Wine,6,9,9,"Dense, resolved","filet mignon, mature cheeses","1996 legend: profound, balanced age.",NUCLEAR_MATCH_V8
joo ok,St.-Vivant Grand Cru,Domaine de la Romanee-Conti,2018,4000,750ml,Red Wine,7,7,7,"silky, resolved","poultry, duck, game_bird, truffle, cheese_course","2018 RSV entering a gorgeous drink window; sweet fruit, seamless tannin.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Musigny Grand Cru,Jacques-Frédéric Mugnier,1999,3975,750ml,Red Burgundy,7,9,8,"Evolved, complex","Beef, Foie Gras","Legendary maturity, ethereal.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,"Cros-Parantoux 1er Cru, Vosne-Romanée",Domaine Méo-Camuzet,2022,3975,750ml,Red Burgundy,8,7,7,"suave, refined, saline-mineral","pigeon, duck_breast, morels, veal",Solar 2022 depth over classic Cros-Parantoux tension and spice.,NUCLEAR_MATCH_V8
4 Charles Prime Rib,Pauillac,Château Lafite Rothschild,2000,3975,750ml,Bordeaux,9,8,9,Youthful purity,"Roast Beef, Cheese","2000 ethereal: graphite, 50+ years ahead.",NUCLEAR_MATCH_V8
atomix,Unknown,Domaine Fourrier,2002,3950,750ml,General,7,8,8,mature velvet,"braised beef, truffle pasta","Aged power, tertiary notes.",NUCLEAR_MATCH_V8
4 Charles Prime Rib,Romanée-St-Vivant Grand Cru,Domaine de la Romanée-Conti,2020,3900,750ml,Red Burgundy,8,7,7,"precise, satin, tense","poularde, pigeon, morel_pasta, reblochon","2020 RSV; ripe yet vertical, with vibrant, limestone-driven finish.",NUCLEAR_MATCH_V8
53,Ribera del Duero 'Unico',Vega Sicilia,2004,3875,750ml,Red Wines,7,9,9,Velvet,"game meats, blue cheese","Mature 2004 Unico, complex evolution.",NUCLEAR_MATCH_V8
Huso,‘Chambertin’,Denis Mortet,2019,3850,750ml,Red Wine,8,9,8,structured firm,"venison, aged cheese",Mature Grand Cru power and depth.,NUCLEAR_MATCH_V8
53,Bonnes Mares Grand Cru,Domaine Georges Roumier,2021,3846,750ml,Red Wines,9,8,7,Chalky,"Lamb, Truffles","Lean classic Bonnes Mares, vibrant acid.",NUCLEAR_MATCH_V8
Huso,Richebourg,Méo-Camuzet,2023,3800,750ml,Red Wine,8,9,9,"powerful, dense, luxurious","dry_aged_beef, venison, tasting_menu_icon, rich_sauces","Young Richebourg monument: immense structure, dark fruit, and glossy Groffier polish.",NUCLEAR_MATCH_V8
cote,"Solaia, Bolgheri",Antinori,1999,3750,3L,Italian Red Wine,7,9,9,Opulent,"rare steak, cigar","SuperTuscan icon, evolved elegance.",NUCLEAR_MATCH_V8
gabriel kreuther,Bienvenues-Bâtard-Montrachet Grand Cru,Leflaive,2006,3750,750ml,General,7,1,8,"Luxurious, honeyed, satiny","Foie Gras, Lobster, Aged Comté, Truffle","Mature grand cru: tertiary nuance, honeyed depth, still vibrant.",NUCLEAR_MATCH_V8
gabriel kreuther,"""Les Cras"" Chambolle-Musigny 1er Cru",G. Roumier,2019,3750,750ml,General,8,6,7,"Filigreed, chalky tannins, satin palate","Duck, Squab, Mushroom, Truffle",Roumier precision: lifted red fruit cloaked in serious underlying structure.,NUCLEAR_MATCH_V8
53,Bâtard-Montrachet Grand Cru,Domaine Leflaive,2020,3700,750ml,Chardonnay | Burgundy,9,1,7,Vibrant mineral,"Crab, Citrus Salad",Cool year shines; pure and tense.,NUCLEAR_MATCH_V8
4 Charles Prime Rib,Pomerol,Petrus,2014,3600,750ml,Bordeaux,8,8,6,Lean,"Charcuterie, Herb-Crusted Fish","2014 Petrus, taut and wiry.",NUCLEAR_MATCH_V8
53,Bienvenues-Bâtard-Montrachet Grand Cru,Domaine Leflaive,2020,3500,750ml,Chardonnay | Burgundy,8,1,9,"Broad, satiny, deeply layered","Lobster, Roast Poultry, Morels",2020 richness tamed by Leflaive’s line; decant generously.,NUCLEAR_MATCH_V8
